-------------------------------------------------------------------------------------------------------------
|                                              DescribeImages                                               |
+---------------------------+------------------------+------------------------------------------------------+
|       CreationDate        |          ID            |                        Name                          |
|  2019-11-19T07:39:30.000Z |  ami-052f7e7403936890d |  amazon-eks-arm64-node-1.12-v20191119                |
|  2019-11-19T07:02:20.000Z |  ami-053250833d1030033 |  amazon-eks-node-1.14-v20191119                      |
|  2018-12-07T03:29:18.000Z |  ami-053cbe66e0033ebcf |  amazon-eks-node-1.11-v20181210                      |
|  2019-06-15T06:51:13.000Z |  ami-0594af1d60a8ccc31 |  amazon-eks-gpu-node-1.12-v20190614                  |
|  2019-12-11T07:56:29.000Z |  ami-059d7a87b1c01a8c8 |  amazon-eks-node-1.11-v20191211                      |
|  2019-06-19T21:16:59.000Z |  ami-05ad04ed51d006bc9 |  amazon-eks-gpu-node-1.11-v20190614                  |
|  2019-12-11T07:14:00.000Z |  ami-05f899e608b4e929d |  amazon-eks-arm64-node-1.14-v20191211                |
|  2020-02-29T20:12:19.000Z |  ami-0614f930c2ae2d950 |  amazon-eks-node-1.13-v20200228                      |
|  2019-12-11T07:35:15.000Z |  ami-06189d34ded3db0e2 |  amazon-eks-gpu-node-1.13-v20191211                  |
|  2019-09-06T09:20:07.000Z |  ami-06352290702ae9aa4 |  amazon-eks-gpu-node-1.11-v20190906                  |
|  2019-03-28T03:00:03.000Z |  ami-06640f41bbd6653bb |  amazon-eks-node-1.11-v20190327                      |
|  2019-06-15T06:58:38.000Z |  ami-06679ec64827d719a |  amazon-eks-gpu-node-1.13-v20190614                  |
|  2019-07-02T01:03:03.000Z |  ami-067d88fb64d3d7990 |  amazon-eks-gpu-node-1.12-v20190701                  |
|  2020-02-29T20:28:15.000Z |  ami-071effe3bf02d73cf |  amazon-eks-node-1.12-v20200228                      |
|  2020-02-29T19:46:31.000Z |  ami-073769ca66493b1aa |  amazon-eks-arm64-node-1.15-v20200228                |
|  2020-02-13T01:38:46.000Z |  ami-074f0e3f73e526e8c |  amazon-eks-node-1.14-v20200122                      |
|  2019-12-11T07:19:19.000Z |  ami-07542d94c0d5c26af |  amazon-eks-gpu-node-1.14-v20191211                  |
|  2019-09-28T10:58:58.000Z |  ami-0778527db299d0b94 |  amazon-eks-gpu-node-1.12-v20190927                  |
|  2020-02-29T20:07:15.000Z |  ami-07b7a091f982c2200 |  amazon-eks-gpu-node-1.14-v20200228                  |
|  2020-03-13T05:25:03.000Z |  ami-07e23a844266881e0 |  amazon-eks-gpu-node-1.14-v20200312                  |
|  2019-06-15T06:51:21.000Z |  ami-07ebcae043cf995aa |  amazon-eks-node-1.13-v20190614                      |
|  2019-12-13T08:43:18.000Z |  ami-07f54fc065c3da9d7 |  amazon-eks-node-1.13-v20191213                      |
|  2019-09-06T08:58:52.000Z |  ami-080eaa48408e4cce8 |  amazon-eks-gpu-node-1.13-v20190906                  |
|  2019-12-13T08:27:37.000Z |  ami-080fbb09ee2d4d3fa |  amazon-eks-node-1.14-v20191213                      |
|  2019-09-28T10:32:25.000Z |  ami-082bb518441d3954c |  amazon-eks-node-1.14-v20190927                      |
|  2020-02-13T02:05:21.000Z |  ami-08359147a49e80726 |  amazon-eks-gpu-node-1.13-v20200122                  |
|  2020-02-13T01:54:43.000Z |  ami-083aa671736b7a07c |  amazon-eks-node-1.13-v20200122                      |
|  2019-08-08T16:10:16.000Z |  ami-087f4399676501cc5 |  amazon-eks-node-v1.11-windows-2019-Core-2019-08-06  |
|  2020-02-29T19:41:12.000Z |  ami-08880278b3cac5832 |  amazon-eks-node-1.15-v20200228                      |
|  2019-06-15T06:31:02.000Z |  ami-088dad958fbfa643e |  amazon-eks-node-1.11-v20190614                      |
|  2019-09-28T11:09:36.000Z |  ami-089f7b1b932a9a7de |  amazon-eks-gpu-node-1.11-v20190927                  |
|  2020-03-13T05:09:07.000Z |  ami-08b34b68611628318 |  amazon-eks-gpu-node-1.15-v20200312                  |
|  2019-12-11T07:40:33.000Z |  ami-091b4f2f74ac1fd74 |  amazon-eks-node-1.12-v20191211                      |
|  2019-06-19T21:17:13.000Z |  ami-09279e76127f808b2 |  amazon-eks-gpu-node-1.12-v20190614                  |
|  2020-02-29T20:02:12.000Z |  ami-092e15dc325d172c1 |  amazon-eks-arm64-node-1.14-v20200228                |
|  2019-03-30T00:23:17.000Z |  ami-093d55c2ba99ab2c8 |  amazon-eks-node-1.10-v20190329                      |
|  2018-10-31T01:22:31.000Z |  ami-0958a76db2d150238 |  amazon-eks-node-v25                                 |
|  2019-12-13T08:37:59.000Z |  ami-095e1b9737cfe76bc |  amazon-eks-gpu-node-1.14-v20191213                  |
|  2019-12-13T09:25:32.000Z |  ami-0961a68fdef57f3cb |  amazon-eks-gpu-node-1.11-v20191213                  |
|  2020-03-13T05:19:44.000Z |  ami-09672e3b14b1b3217 |  amazon-eks-arm64-node-1.14-v20200312                |
|  2019-12-11T07:24:37.000Z |  ami-09837d89162924765 |  amazon-eks-node-1.13-v20191211                      |
|  2019-11-19T07:44:49.000Z |  ami-09ec08121bae3bb74 |  amazon-eks-gpu-node-1.12-v20191119                  |
|  2019-06-19T21:13:14.000Z |  ami-0a0d326e98757aa1b |  amazon-eks-gpu-node-1.10-v20190614                  |
|  2019-12-13T08:48:36.000Z |  ami-0a217e3ac8a1ab527 |  amazon-eks-arm64-node-1.13-v20191213                |
|  2019-12-11T08:01:48.000Z |  ami-0a3671d676068577d |  amazon-eks-arm64-node-1.11-v20191211                |
|  2019-03-28T02:40:49.000Z |  ami-0a788defb66cdfffb |  amazon-eks-gpu-node-1.10-v20190327                  |
|  2019-08-14T11:44:08.000Z |  ami-0af8403c143fd4a07 |  amazon-eks-gpu-node-1.13-v20190814                  |
|  2019-08-30T23:16:41.000Z |  ami-0b031080918049726 |  amazon-eks-node-1.14-v20190822                      |
|  2019-02-10T05:18:46.000Z |  ami-0b10ebfc82e446296 |  amazon-eks-node-1.11-v20190211                      |
|  2019-08-14T11:54:45.000Z |  ami-0b42bfc7af8bb3abc |  amazon-eks-gpu-node-1.12-v20190814                  |
|  2019-01-10T00:42:37.000Z |  ami-0b779e8ab57655b4b |  amazon-eks-node-1.10-v20190109                      |
|  2019-07-02T01:02:45.000Z |  ami-0b87186dda80931ee |  amazon-eks-gpu-node-1.11-v20190701                  |
|  2019-12-11T07:51:11.000Z |  ami-0c083d00041fb0d22 |  amazon-eks-gpu-node-1.12-v20191211                  |
|  2019-09-28T11:04:17.000Z |  ami-0c2d37a56f30b2cd0 |  amazon-eks-node-1.11-v20190927                      |
|  2019-01-10T00:31:37.000Z |  ami-0c2e8d28b1f854c68 |  amazon-eks-node-1.11-v20190109                      |
|  2020-03-13T05:30:21.000Z |  ami-0c75489b2d6bb5afc |  amazon-eks-node-1.13-v20200312                      |
